age,contribution
0.0,-22.138798322042224
10.0,-16.275181528846023
20.0,-10.815848123744862
30.0,-6.041401780460533
40.0,-2.074453188294425
50.0,1.047960098791421
60.0,3.3800562723508056
70.0,5.0428799144669325
80.0,6.1644006205271635
90.0,6.877887532723523
100.0,7.291662577885425
110.0,7.475122025546089
120.0,7.487075596854268
130.0,7.369854856546785
140.0,7.162927044277868
150.0,6.903737157591115
160.0,6.628997828279041
170.0,6.3738501216603005
180.0,6.170781808607237
190.0,6.034861748917973
200.0,5.971876735585383
210.0,5.976766156666897
220.0,6.03677526485716
230.0,6.138800612819234
240.0,6.269550835202985
250.0,6.4158084810813065
260.0,6.564489550013206
270.0,6.704489746276445
280.0,6.829027810592184
290.0,6.9335263209107145
300.0,7.018781627879918
310.0,7.086757217458851
320.0,7.139724975570781
330.0,7.180054312606196
340.0,7.210119920632833
350.0,7.232305561464738
360.0,7.249079283951201
370.0,7.263117417972664
