cement,contribution
100.0,-26.4741897305458
110.0,-25.118595208820448
120.0,-23.756358782821174
130.0,-22.380447874095974
140.0,-20.983109327491885
150.0,-19.555060497524373
160.0,-18.088042333470465
170.0,-16.588979169857662
180.0,-15.075116293986088
190.0,-13.563686491807735
200.0,-12.071243001090057
210.0,-10.613799283895789
220.0,-9.197852989345519
230.0,-7.8202388032989765
240.0,-6.478900955594461
250.0,-5.1796846948284845
260.0,-3.930925484073157
270.0,-2.738999306590805
280.0,-1.6073061578869148
290.0,-0.5375504725705237
300.0,0.4805563655452806
310.0,1.4632164211632968
320.0,2.4225732110348055
330.0,3.361313505029312
340.0,4.280985431448226
350.0,5.185851475048066
360.0,6.082199911104635
370.0,6.977145302448751
380.0,7.88060099489357
390.0,8.803135249941386
400.0,9.756035808891843
410.0,10.751391522768154
420.0,11.802407882059565
430.0,12.928425811911803
440.0,14.150878057676358
450.0,15.485141759804549
460.0,16.936486601790175
470.0,18.50871156701377
480.0,20.200842892568453
490.0,22.009297848069785
500.0,23.92659634999847
510.0,25.935389697588466
520.0,28.016718280467327
530.0,30.15061520605236
540.0,32.31628874464092
550.0,34.49091191955056
